,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Effective To Date,mm,dd
0,Washington,0,Basic,Bachelor,Employed,1,Suburban,Married,Corporate Auto,3,1,Agent,Two-Door Car,Medsize,2011-02-24,2,24
1,Arizona,0,Extended,Bachelor,Unemployed,1,Suburban,Single,Personal Auto,3,3,Agent,Four-Door Car,Medsize,2011-01-31,1,31
2,Nevada,0,Premium,Bachelor,Employed,1,Suburban,Married,Personal Auto,3,1,Agent,Two-Door Car,Medsize,2011-02-19,2,19
3,California,0,Basic,Bachelor,Unemployed,0,Suburban,Married,Corporate Auto,2,1,Call Center,SUV,Medsize,2011-01-20,1,20
4,Washington,0,Basic,Bachelor,Employed,0,Rural,Single,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-02-03,2,3
5,Oregon,1,Basic,Bachelor,Employed,1,Rural,Married,Personal Auto,3,2,Web,Two-Door Car,Medsize,2011-01-25,1,25
6,Oregon,1,Basic,College,Employed,1,Suburban,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-24,2,24
7,Arizona,0,Premium,Master,Unemployed,0,Urban,Single,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-18,1,18
8,Oregon,1,Basic,Bachelor,other,0,Suburban,Divorced,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-26,1,26
9,Oregon,0,Extended,College,Employed,1,Urban,Married,Special Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-17,2,17
10,California,0,Basic,College,Unemployed,0,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-02-21,2,21
11,California,0,Basic,College,Unemployed,1,Suburban,Married,Personal Auto,3,2,Agent,SUV,Medsize,2011-01-06,1,6
12,California,0,Premium,Master,Employed,0,Urban,Married,Corporate Auto,1,2,Agent,Four-Door Car,Medsize,2011-02-06,2,6
13,Arizona,1,Basic,High School or Below,Employed,0,Suburban,Married,Corporate Auto,3,2,Branch,SUV,Medsize,2011-01-10,1,10
14,California,0,Basic,College,Employed,0,Urban,Single,Corporate Auto,3,4,Call Center,Four-Door Car,Medsize,2011-01-18,1,18
15,Oregon,0,Basic,Bachelor,Employed,1,Rural,Married,Corporate Auto,2,2,Branch,Four-Door Car,Medsize,2011-01-17,1,17
16,Nevada,0,Basic,High School or Below,other,0,Suburban,Married,Personal Auto,3,2,Call Center,Two-Door Car,Medsize,2011-02-06,2,6
17,California,0,Basic,College,other,0,Suburban,Married,Personal Auto,2,3,Call Center,SUV,Medsize,2011-01-05,1,5
18,Oregon,0,Basic,College,Employed,0,Urban,Married,Personal Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-27,2,27
19,California,0,Premium,High School or Below,Employed,1,Suburban,Married,Corporate Auto,2,1,Call Center,Four-Door Car,Small,2011-01-14,1,14
20,Oregon,0,Basic,High School or Below,Employed,0,Suburban,Single,Personal Auto,2,1,Branch,Two-Door Car,Medsize,2011-02-19,2,19
21,Washington,0,Extended,Bachelor,other,1,Suburban,Divorced,Personal Auto,3,4,Call Center,Four-Door Car,Medsize,2011-01-21,1,21
22,Arizona,1,Basic,Bachelor,other,0,Suburban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-26,1,26
23,Nevada,0,Basic,Bachelor,Unemployed,1,Suburban,Single,Corporate Auto,3,1,Branch,Four-Door Car,Medsize,2011-02-24,2,24
24,California,0,Basic,Bachelor,other,1,Suburban,Married,Corporate Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-05,2,5
25,Oregon,0,Basic,College,Employed,0,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Large,2011-01-29,1,29
26,California,0,Premium,Bachelor,Unemployed,1,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-02-28,2,28
27,Washington,0,Extended,Master,other,1,Urban,Married,Corporate Auto,1,1,Branch,SUV,Medsize,2011-02-12,2,12
28,Arizona,0,Premium,College,Employed,1,Suburban,Single,Personal Auto,3,1,Call Center,Four-Door Car,Large,2011-02-02,2,2
29,Oregon,0,Extended,Master,Employed,1,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small,2011-02-07,2,7
30,Arizona,0,Basic,College,Employed,0,Suburban,Married,Personal Auto,2,4,Call Center,Four-Door Car,Small,2011-02-28,2,28
31,Nevada,0,Extended,High School or Below,Employed,0,Urban,Married,Corporate Auto,2,2,Agent,Luxury,Medsize,2011-01-22,1,22
32,California,0,Basic,Bachelor,Unemployed,0,Urban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Medsize,2011-01-25,1,25
33,Washington,0,Basic,Bachelor,Employed,0,Suburban,Married,Corporate Auto,2,1,Agent,Two-Door Car,Small,2011-01-18,1,18
34,Oregon,0,Basic,Bachelor,Employed,1,Rural,Married,Corporate Auto,1,3,Web,Four-Door Car,Medsize,2011-02-13,2,13
35,Arizona,0,Basic,High School or Below,Employed,1,Urban,Married,Personal Auto,1,1,Branch,Four-Door Car,Medsize,2011-01-15,1,15
36,California,0,Premium,Bachelor,Employed,0,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-01-08,1,8
37,Oregon,0,Extended,Master,Employed,1,Suburban,Married,Personal Auto,3,2,Web,Four-Door Car,Small,2011-02-06,2,6
38,Oregon,0,Extended,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,2,3,Agent,Two-Door Car,Small,2011-01-25,1,25
39,Arizona,0,Basic,High School or Below,Employed,0,Rural,Divorced,Personal Auto,3,1,Call Center,Four-Door Car,Medsize,2011-02-07,2,7
40,Nevada,0,Basic,High School or Below,Unemployed,1,Suburban,Married,Corporate Auto,3,3,Call Center,Two-Door Car,Medsize,2011-01-18,1,18
41,Oregon,1,Basic,College,Employed,1,Rural,Single,Corporate Auto,3,2,Agent,Two-Door Car,Medsize,2011-01-11,1,11
42,California,1,Extended,Bachelor,Employed,1,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Small,2011-01-28,1,28
43,Arizona,0,Basic,High School or Below,Employed,0,Suburban,Married,Personal Auto,2,4,Agent,Sports Car,Medsize,2011-02-08,2,8
44,Washington,0,Basic,College,Employed,0,Suburban,Married,Special Auto,2,2,Call Center,Four-Door Car,Large,2011-02-23,2,23
45,Oregon,0,Premium,Doctor,other,1,Rural,Married,Personal Auto,2,1,Branch,SUV,Medsize,2011-01-25,1,25
46,Arizona,0,Basic,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,3,3,Call Center,Four-Door Car,Medsize,2011-01-31,1,31
47,Oregon,0,Basic,High School or Below,Employed,1,Suburban,Single,Personal Auto,2,4,Agent,Two-Door Car,Medsize,2011-01-02,1,2
48,California,0,Extended,Bachelor,Unemployed,1,Suburban,Married,Corporate Auto,2,2,Call Center,Four-Door Car,Medsize,2011-02-07,2,7
49,Arizona,0,Basic,High School or Below,Unemployed,1,Suburban,Married,Personal Auto,2,4,Branch,Four-Door Car,Medsize,2011-01-18,1,18
50,Oregon,0,Basic,College,Employed,0,Suburban,Married,Personal Auto,2,1,Agent,SUV,Small,2011-01-17,1,17
51,California,1,Basic,Bachelor,Employed,1,Suburban,Divorced,Corporate Auto,1,1,Web,SUV,Medsize,2011-01-11,1,11
52,Nevada,0,Basic,High School or Below,Employed,1,Rural,Married,Special Auto,1,4,Branch,Four-Door Car,Medsize,2011-02-21,2,21
53,Washington,0,Basic,Bachelor,Employed,0,Suburban,Single,Personal Auto,3,4,Agent,Four-Door Car,Medsize,2011-02-16,2,16
54,California,0,Premium,Bachelor,other,0,Suburban,Married,Personal Auto,2,1,Branch,Four-Door Car,Small,2011-01-17,1,17
55,Arizona,0,Extended,College,Employed,1,Suburban,Divorced,Corporate Auto,3,3,Call Center,Four-Door Car,Small,2011-02-05,2,5
56,California,0,Basic,College,Employed,0,Urban,Married,Special Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-13,2,13
57,Arizona,0,Basic,High School or Below,Unemployed,1,Suburban,Married,Personal Auto,2,1,Call Center,SUV,Small,2011-02-23,2,23
58,Oregon,0,Extended,High School or Below,other,1,Suburban,Divorced,Personal Auto,3,1,Call Center,SUV,Medsize,2011-01-28,1,28
59,Oregon,0,Premium,Master,other,1,Suburban,Divorced,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-02-28,2,28
60,Arizona,1,Basic,Bachelor,other,0,Suburban,Divorced,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-01-02,1,2
61,California,0,Premium,Bachelor,other,1,Suburban,Married,Personal Auto,3,1,Call Center,Two-Door Car,Small,2011-01-22,1,22
62,Oregon,0,Extended,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,3,1,Agent,Two-Door Car,Small,2011-01-15,1,15
63,California,0,Basic,High School or Below,Employed,1,Rural,Married,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-27,1,27
64,Arizona,0,Basic,Bachelor,Unemployed,1,Suburban,Single,Personal Auto,3,3,Branch,Four-Door Car,Large,2011-01-23,1,23
65,Washington,0,Basic,College,Employed,0,Suburban,Married,Personal Auto,3,3,Web,Four-Door Car,Medsize,2011-01-31,1,31
66,Oregon,0,Basic,College,Employed,1,Suburban,Divorced,Corporate Auto,3,1,Agent,SUV,Medsize,2011-01-26,1,26
67,Arizona,0,Extended,High School or Below,Employed,1,Urban,Married,Personal Auto,3,4,Branch,Two-Door Car,Small,2011-01-10,1,10
68,Oregon,1,Extended,Bachelor,Unemployed,1,Suburban,Divorced,Personal Auto,3,1,Call Center,Two-Door Car,Large,2011-01-27,1,27
69,California,0,Premium,College,other,1,Suburban,Married,Personal Auto,3,3,Web,Four-Door Car,Medsize,2011-01-09,1,9
